ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
1502 ROUTE 61 HWY S,POTTSVILLE,PA,17901,40.64367319999999,-76.1851166
1565 MAIN ST 2,TEWKSBURY,MA,01876,42.5971641,-71.2182006
248 PLEASANT ST 2,METHUEN,MA,01844,42.7405592,-71.17140619999999
5265 COMMERCE BLVD,CROWN POINT,IN,46307,41.4736571,-87.39925029999999
1701W BURBANK BLVD 203,BURBANK,CA,91506,34.1815101,-118.3298472
3281 RACQUET CLUB DR,TRAVERSE CITY,MI,49684,44.7323165,-85.6193685
1168 LAKEVIEW AVE 25,DRACUT,MA,01826,42.66614080000001,-71.32349789999999
950N MAIN ST 201,RANDOLPH,MA,02368,42.1869146,-71.0575945
CALLE BOLIVIA #60 PISO 3,SAN JUAN,PR,00917,18.4265223,-66.0557365
30 EASTBROOK RD 403,DEDHAM,MA,02026,42.2552267,-71.1667892
10393 SAN DIEGO MISSION RD. SUITE 206,SAN DIEGO,CA,92108,32.7851884,-117.1123737
9280 BAY PLAZA BIVD,TAMPA,FL,33619,27.9471844,-82.3478169
12176 S 1000 E,DRAPER,UT,84020,40.5292794,-111.8633329
301 GEORGIA ST 316,VALLEJO,CA,94590,38.1009299,-122.2578559
500 ROUTE 909,VERONA,PA,15147,40.5262256,-79.8086199
105W ALAMEDA AVE 217,BURBANK,CA,91502,34.1847406,-118.290032
3804 COCONUT PALM DR,TAMPA,FL,33619,27.979823,-82.35439219999999
130 FITZGERALD RD,LAKELAND,FL,33813,27.9679653,-81.9632541
21133 VICTORY BLVD 206,CANOGA PARK,CA,91303,34.1887967,-118.593751
3305 W SPRING MOUNTAIN RD 61,LAS VEGAS,NV,89102,36.1253503,-115.183698
2315 N 5TH ST,ELKO,NV,89801,40.8443578,-115.7808633
100 TOWER RD,AMERICAN CANYON,CA,94503,38.2117316,-122.2571893
15 UNION ST 414,LAWRENCE,MA,01840,42.7079429,-71.1529235
