CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon,lat_google,lon_google,updated_by_google
237587,51145 NICOLETTE DR,CHESTERFIELD,MI,48047,42.6759512,-82.7806224,,,False
047033,1726 MARIE CIRCLE,JONESBORO,AR,72401,35.8246547,-90.6718981,,,False
108202,10300 SW 72ND ST,MIAMI,FL,33173,25.7003539,-80.3606508,,,False
677866,830 JULIE RIVERS DR,SUGAR LAND,TX,77478,29.6299247,-95.6010055,,,False
667001,POB 10003 PMB 1341,SAIPAN,MP,96950,15.1850483,145.7467259,15.1850483,145.7467259,True
147730,15W700 N FRONTAGE RD,BURR RIDGE,IL,60527,41.7503787,-87.932695,41.7503787,-87.932695,True
677889,11110 PETAL ST,DALLAS,TX,75238,32.8822293,-96.6889447,,,False
677927,3306 LARKIN LN,ROWLETT,TX,75089,32.9267902,-96.5685014,,,False
367733,501 WASHINGTON STREET,SOUTH POINT,OH,45680,38.4243197,-82.5797853,38.4243197,-82.5797853,True
679449,8515 FONDREN RD,HOUSTON,TX,77074,29.6862579,-95.5082449,,,False
147826,940 W ADAMS ST,CHICAGO,IL,60607,41.879678,-87.6511433,,,False
377196,209 48TH AVE NW,NORMAN,OK,73072,35.218733,-97.5117799,,,False
377643,111 S YORK ST,MUSKOGEE,OK,74403,35.7378365,-95.340816,,,False
108248,1535 SW 87TH AVE,MIAMI,FL,33174,25.7553423,-80.3355881,,,False
237274,209 E WASHINGTON AVE,JACKSON,MI,49201,42.2455519,-84.4036252,,,False
453157,5339 ALPHA RD,DALLAS,TX,75240,32.9340018,-96.8158444,,,False
107690,426 SW COMMERCE DR,LAKE CITY,FL,32025,30.1755045,-82.6851284,,,False
077079,61 MAIN ST,CENTERBROOK,CT,06409,41.3520705,-72.4163123,41.3520705,-72.4163123,True
257087,18 MELODY LANE,COLLINS,MS,39428,31.628813,-89.5559691,31.628813,-89.5559691,True
557204,7777 GREENBACK LN,CITRUS HEIGHTS,CA,95610,38.6783919,-121.2773973,,,False
248037,800 BOONE N AVE 200,GOLDEN VALLEY,MN,55427,44.9876554,-93.3895114,44.9876554,-93.3895114,True
117080,1676 MULKEY ROAD,AUSTELL,GA,30106,33.8592138,-84.6039589,33.8592138,-84.6039589,True
077066,27 GOVERNOR ST,RIDGEFIELD,CT,06877,41.281023,-73.49586,41.281023,-73.49586,True
447564,2995 APPLING RD,BARTLETT,TN,38133,35.2072136,-89.8085768,,,False
367799,3130 EXECUTIVE PKWY,TOLEDO,OH,43606,41.6782433,-83.6287781,,,False
197779,8070 CROWDER BLVD,NEW ORLEANS,LA,70127,30.0414684,-90.0004967,,,False
177243,100 W 16TH ST,EUREKA,KS,67045,37.8353151,-96.2935104,,,False
107717,1009 MAITLAND CENTER COMMONS BLVD,MAITLAND,FL,32751,28.6370613,-81.3979835,28.6370613,-81.3979835,True
147837,7820 GRAPHIC DR,TINLEY PARK,IL,60477,41.5515855,-87.8074699,41.5515855,-87.8074699,True
677897,302 KINGS HWY,BROWNSVILLE,TX,78521,25.9243982,-97.4705317,,,False
377461,4150 S 100TH EAST AVE,TULSA,OK,74146,36.1025386,-95.8661973,,,False
237615,1705 WOODLAND DR,SALINE,MI,48176,42.1821847,-83.7879614,,,False
057679,10 CONSTITUTION DR,CHICO,CA,95973,39.7716554,-121.8742523,,,False
