"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017320,5,,4,,93,,5,,90,,5,,89,,4,,89,,87,,353,,25,,
017323,5,,4,,93,,5,,93,,5,,89,,4,,89,,91,,94,,38,,
017324,4,,4,,90,,5,,88,,4,,85,,4,,87,,82,,290,,30,,
017326,5,,5,,93,,5,,90,,5,,91,,4,,91,,84,,287,,33,,
017327,4,,4,,91,,5,,91,,4,,85,,4,,91,,83,,184,,26,,
017328,4,,4,,91,,4,,88,,5,,90,,4,,87,,85,,132,,25,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,,5,,94,,5,,91,,5,,88,,5,,92,,87,,102,,26,,
017879,5,11,5,11,94,11,5,11,91,11,5,11,92,11,4,11,87,11,85,11,57,11,25,11,11
017880,5,,5,,93,,5,,94,,4,,85,,5,,96,,84,,118,,28,,
017881,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027001,4,,4,,93,,5,,89,,3,,81,,4,,91,,86,,145,,20,,
027002,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027006,Not Available,11,Not Available,11,89,11,Not Available,11,82,11,Not Available,11,82,11,Not Available,11,85,11,88,11,33,11,19,11,11
027008,3,,3,,87,,4,,83,,2,,78,,3,,82,,80,,242,,18,,
027009,Not Available,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,78,11,Not Available,11,81,11,85,11,14,11,20,11,11
027010,Not Available,11,Not Available,11,90,11,Not Available,11,84,11,Not Available,11,91,11,Not Available,11,93,11,89,11,36,11,21,11,11
027014,Not Available,11,Not Available,11,90,11,Not Available,11,87,11,Not Available,11,84,11,Not Available,11,96,11,72,11,27,11,30,11,11
027022,4,11,3,11,85,11,4,11,83,11,5,11,91,11,2,11,80,11,67,11,51,11,27,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,2,11,3,11,85,11,2,11,82,11,2,11,77,11,2,11,79,11,82,11,49,11,19,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,71,11,Not Available,11,69,11,Not Available,11,56,11,Not Available,11,54,11,55,11,17,11,17,11,11
027038,4,11,2,11,86,11,5,11,92,11,3,11,80,11,4,11,89,11,85,11,54,11,13,11,11
027305,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037015,3,,4,,89,,4,,85,,2,,78,,3,,86,,77,,1507,,24,,
037016,3,,4,,89,,4,,84,,2,,76,,3,,81,,74,,196,,19,,
037024,4,,4,,91,,4,,86,,3,,80,,4,,88,,81,,331,,28,,
037027,3,,3,,87,,3,,84,,2,,71,,3,,84,,74,,76,,21,,
037030,3,,3,,88,,4,,87,,2,,78,,4,,93,,86,,73,,38,,
037036,4,,4,,92,,5,,90,,3,,82,,3,,84,,84,,88,,30,,
037037,4,,4,,90,,4,,86,,3,,81,,3,,85,,80,,331,,22,,
037042,4,,4,,91,,4,,87,,3,,80,,3,,88,,82,,94,,28,,
037047,4,11,5,11,93,11,4,11,90,11,3,11,81,11,4,11,90,11,87,11,65,11,27,11,11
037050,5,,5,,96,,5,,90,,5,,90,,5,,94,,94,,113,,29,,
037057,5,,4,,91,,5,,89,,5,,91,,4,,89,,78,,147,,39,,
037068,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037070,3,,3,,86,,3,,81,,2,,75,,3,,87,,77,,283,,30,,
037099,4,,4,,91,,3,,85,,3,,82,,4,,86,,76,,145,,24,,
037106,4,,3,,89,,5,,89,,3,,79,,3,,82,,79,,285,,26,,
037114,5,,5,,93,,4,,85,,4,,86,,5,,94,,83,,117,,25,,
037118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037125,Not Available,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,81,11,Not Available,11,92,11,86,11,38,11,26,11,11
037129,4,,4,,90,,4,,87,,2,,77,,4,,91,,82,,87,,39,,
037130,4,,4,,91,,4,,86,,3,,83,,4,,90,,85,,330,,36,,
037132,2,,1,,82,,2,,79,,2,,72,,2,,77,,69,,179,,13,,
037139,4,,4,,89,,5,,90,,4,,87,,4,,89,,80,,136,,31,,
037144,3,,3,,88,,4,,84,,3,,81,,3,,83,,76,,184,,31,,
037154,4,,4,,90,,5,,88,,3,,81,,4,,88,,82,,252,,31,,
