"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT",NPI,"MULTIPLE NPI FLAG",CCN,"ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT",PROPRIETARY_NONPROFIT,"ADDRESS LINE 1","ADDRESS LINE 2",CITY,STATE,"ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20021025000026,VA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1336141779,N,497592,2769390269,"MOUNTAIN REGION PERSONAL CARE SERVICES INC","",1999-01-11,VA,CORPORATION,"",P,"463 DUFF PATT HWY","STE 102",DUFFIELD,VA,242445123,"",""
O20021028000002,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1184608333,N,227465A,1759299266,"OVERLOOK VISITING NURSE ASSOCIATION, INC","",2000-05-05,MA,CORPORATION,"",N,"88 MASONIC HOME RD","",CHARLTON,MA,015071394,"HHA BRANCH",""
O20021028000003,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1427032192,N,227443A,1759299266,"OVERLOOK VISITING NURSE ASSOCIATION, INC","",2000-05-05,MA,CORPORATION,"",N,"267 AMHERST RD","STE 2B",SUNDERLAND,MA,013759614,"HHA BRANCH",""
O20021028000022,NH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1568436194,N,307014,4880502301,"WENTWORTH HOME CARE AND HOSPICE, LLC","WENTWORTH HOME CARE AND HOSPICE, AN AMEDISYS PARTNER",2002-05-29,NH,LLC,"",P,"9 ANDREWS RD","",SOMERSWORTH,NH,038781042,"",""
O20021028000027,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1538190087,N,227260,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"275 MARTINE ST","STE 104","FALL RIVER",MA,027231500,"",""
O20021028000031,UT,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1083610869,N,467206,0042128563,"CAREGIVER SUPPORT NETWORK, INC","",1999-10-28,UT,CORPORATION,"",P,"404 E 4500 S","STE A24","SALT LAKE CITY",UT,841072756,"",""
O20021029000012,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1588655112,N,058236,5597673020,"XL CARE INC","X L CARE, INC.",2002-09-24,CA,CORPORATION,"",P,"20350 VENTURA BLVD","STE 140","WOODLAND HILLS",CA,913642484,"HHA BRANCH",""
O20021029000017,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1356332159,N,557775,8224946751,"ULTIMATE CARE PLUS HOME HEALTH, INC.","AS'LIEF HOME HEALTH",2002-04-24,CA,CORPORATION,"",P,"4138 EAGLE ROCK BLVD B","","LOS ANGELES",CA,900654442,"",""
O20021029000019,KS,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1952357808,N,177003,0042128571,"COUNTY OF CLOUD","CLOUD COUNTY HOME HEALTH AGENCY","","",OTHER,GOVERNMENT,N,"910 W 11TH ST","",CONCORDIA,KS,669013905,"",""
O20021029000026,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1982663407,N,058261,3678481116,"HIGHMARK HOME HEALTH, INC","",2002-09-20,CA,CORPORATION,"",P,"2707 E VALLEY BLVD","STE 209","WEST COVINA",CA,917923197,"",""
O20021030000011,MN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1982600094,N,247219,8224946777,"CARE PLUS HHA INC","",1986-12-11,MN,CORPORATION,"",P,"1299 ARCADE ST","STE 100","SAINT PAUL",MN,551062080,"HHA BRANCH",""
O20021031000009,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1992799928,N,058180,7214845775,"ANNEX HEALTHCARE PROVIDERS INC","",2001-03-28,CA,CORPORATION,"",P,"22041 CLARENDON ST","STE 200","WOODLAND HILLS",CA,913676305,"HHA BRANCH",""
O20021104000011,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1285744540,N,397743,8022926591,"EFCC ACQUISITION CORP","EXTENDED FAMILY CARE-PITTSBURGH",1996-12-31,NY,CORPORATION,"",P,"3424 WILLIAM PENN HWY","STE 220",PITTSBURGH,PA,152355444,"",""
O20021105000000,CT,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1255333597,N,077163,1456269927,"NEW ENGLAND HOME CARE INC.","ELARA CARING",1984-01-18,CT,CORPORATION,"",P,"1111 CROMWELL AVE","BLDG 6","ROCKY HILL",CT,060673449,"",""
O20021106000017,KS,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1710919071,N,177179,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"11600 COLLEGE BLVD","STE 230","OVERLAND PARK",KS,662102786,"",""
O20021107000010,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1205835873,N,058219,6709794191,"SELECT CARE HOME HEALTH SERVICES, INC.","",2002-08-26,CA,CORPORATION,"",P,"680 WILSHIRE PL","STE 302","LOS ANGELES",CA,900053950,"",""
O20021107000013,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1861451841,N,058226,5799693180,"GIDDA'S HOME HEALTH SERVICES, INC.","",2002-04-11,CA,CORPORATION,"",P,"13351 HAWTHORNE BLVD","",HAWTHORNE,CA,902505802,"",""
O20021107000014,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1033117734,N,058259,7517875909,"HOLY ANGEL HOME HEALTH CARE ,INC.","",2002-10-02,CA,CORPORATION,"",P,"3470 WILSHIRE BLVD","# 641-642","LOS ANGELES",CA,900102207,"",""
O20021107000028,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1881678217,N,058183,7012825409,"EXCELLENT CARE HOME HEALTH SERVICES, INC.","",2005-09-26,CA,CORPORATION,"",P,"13139 CENTRAL AVE","STE G",CHINO,CA,917104126,"",""
O20021107000031,IA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1295730042,N,167043,1658289046,"COUNTY OF WORTH","WORTH COUNTY PUBLIC HEALTH","","",OTHER,"COUNTY GOVERNMENT",N,"95 9TH ST N","",NORTHWOOD,IA,504591436,"",""
O20021107000033,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093702938,N,397126,3476461872,"CENTRE HOMECARE, INC.","",1965-02-01,PA,CORPORATION,"",N,"2437 COMMERCIAL BLVD","STE 280","STATE COLLEGE",PA,168017454,"",""
O20021107000036,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1023019353,N,058213,6103734504,"INTENSIVE HOME HEALTH CARE, INC","",2002-09-27,CA,CORPORATION,"",P,"21671 GATEWAY CENTER DR","STE 104","DIAMOND BAR",CA,917652463,"",""
O20021115000018,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1790718427,N,227219,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"279 DALTON AVE","STE B",PITTSFIELD,MA,012013500,"",""
O20021121000007,MO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1407823107,N,267002,3476461757,"V N A CORPORATION","VISITING NURSE ASSOCIATION",1984-06-22,MO,CORPORATION,"",N,"1300 E 104TH ST","STE 300","KANSAS CITY",MO,641314511,"HHA BRANCH",""
O20021121000012,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1376545640,N,067169,8921916206,"REHABILITATION AND VISITING NURSE ASSOCIATION LLC","CANYON HOME CARE & HOSPICE OF LOVELAND",1979-08-27,CO,LLC,"",P,"4850 HAHNS PEAK DR","SUITE 100",LOVELAND,CO,805386001,"",""
O20021121000014,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1699713503,Y,397770,2860309671,"BAYADA HOME HEALTH CARE, INC.","",1975-01-17,DE,CORPORATION,"",N,"750 E PARK DR","STE 102",HARRISBURG,PA,171112758,"",""
O20021122000011,VA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1376509430,N,497493,6507774809,"ADVANCED TECHNOLOGIES IN HOME CARE, INC.","AT HOME CARE",1994-11-01,VA,CORPORATION,"",P,"8149 WALNUT GROVE RD","",MECHANICSVILLE,VA,231114517,"",""
O20021126000028,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1992705040,N,057019,7517875859,"MARSHALL MEDICAL CENTER","MARSHALL HOME CARE",1957-03-21,CA,CORPORATION,"",N,"681 MAIN ST 206","",PLACERVILLE,CA,956675747,"",""
O20021127000009,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1548201858,N,058447,3375451610,"HERITAGE HOME HEALTH, INC.","HERITAGE HOME HEALTH, INC.",2002-05-24,CA,CORPORATION,"",P,"18645 SHERMAN WAY","STE 208",RESEDA,CA,913358621,"HHA BRANCH",""
O20021202000009,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1437232360,N,067421,6709794050,"VOLUNTEERS OF AMERICA HOMESTEAD 2000, INC.","VOLUNTEERS OF AMERICA HOME HEALTH OF WESTERN COLORADO",1999-06-29,MN,CORPORATION,"",N,"300N CASCADE AVE T9","",MONTROSE,CO,814013576,"",""
O20021202000011,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1689603870,N,107290B,8527976877,"CENTERWELL HEALTH SERVICES CERTIFIED, INC.","CENTERWELL HOME HEALTH",1998-09-29,DE,CORPORATION,"",P,"350 CORPORATE WAY","STE 250","ORANGE PARK",FL,320732853,"",""
O20021202000025,WV,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1942304092,Y,517098,8325956675,"INTERIM HEALTHCARE OF PITTSBURGH, INC.","INTERIM HEALTHCARE OF MORGANTOWN",1971-12-20,PA,CORPORATION,"",P,"1111 VAN VOORHIS RD","STE 2",MORGANTOWN,WV,265052737,"",""
